PL,NAME,YEAR,TEAM,Avg. Mile,TIME,SCORE
41,Julia David-Smith,JR-3,Washington,05:24.5,20:09.8,41
42,Sophie O'Sullivan,SR-4,Washington,05:24.6,20:10.4,42
43,Tia Wilson,JR-3,Florida,05:24.6,20:10.4,43
44,Blezzin Kimutai,FR-1,Tulane,05:24.8,20:11.0,44
45,Layla Roebke,SR-4,Louisville,05:24.9,20:11.3,45
46,Taylor Lovell,JR-3,BYU,05:25.0,20:11.8,46
47,Adelyn Fairley,SR-4,Liberty,05:25.2,20:12.7,47
48,Kaitlyn Hynes,JR-3,Michigan State,05:25.3,20:12.8,48
49,Angelina Perez,SO-2,Wake Forest,05:25.3,20:13.1,49
50,Emily Bryce,JR-3,West Virginia,05:25.9,20:15.1,50
51,Amina Maatoug,SR-4,Washington,05:26.0,20:15.5,51
52,Shea Ruhly,SR-4,Wisconsin,05:26.0,20:15.6,52
53,Rachel Forsyth,FR-1,Michigan State,05:26.1,20:16.0,53
54,Emma Eastman,JR-3,Syracuse,05:26.2,20:16.3,54
55,Arianne Olson,FR-1,Notre Dame,05:26.3,20:16.6,55
56,Elizabeth Pickett,JR-3,Texas,05:26.4,20:17.1,56
57,Nikita Moore,JR-3,Northern Arizona,05:26.6,20:17.7,57
58,Colbi Borland,SR-4,Lipscomb,05:26.6,20:17.9,58
59,Brooke Wilson,SO-2,Wake Forest,05:26.8,20:18.6,59
60,Leane Willemse,JR-3,Wisconsin,05:26.8,20:18.6,60
61,Madison Trippett,SR-4,West Virginia,05:26.9,20:18.8,61
62,Klara Dess,SR-4,New Mexico,05:27.0,20:19.3,62
63,Alyson Churchill,SR-4,Northern Arizona,05:27.5,20:21.3,63
64,Laura Nicholson,SR-4,Toledo,05:27.6,20:21.7,64
65,Elizabeth Barlow,SR-4,Florida State,05:27.9,20:22.5,65
66,Isabel Allori,FR-1,Notre Dame,05:28.0,20:23.0,66
67,Kaylie Armitage,JR-3,Furman,05:28.0,20:23.1,67
68,Mary Bonner Dalton,FR-1,Notre Dame,05:28.1,20:23.3,68
69,Mackenzie Barnett,SR-4,Lipscomb,05:28.3,20:24.1,69
70,Loral Winn,SR-4,Ole Miss,05:28.3,20:24.2,70
71,Allie Zealand,FR-1,Liberty,05:28.5,20:24.7,71
72,Annika Cutforth,SO-2,Wisconsin,05:28.6,20:25.2,72
73,Gretchen Farley,SO-2,Notre Dame,05:29.1,20:27.0,73
74,Hayley Burns,SO-2,Northern Arizona,05:29.2,20:27.4,74
75,Josphine Mwaura,SO-2,Oklahoma State,05:29.3,20:27.7,75
76,Emma Atkinson,SR-4,Minnesota,05:29.4,20:28.2,76
77,Lindsay Cunningham,SR-4,Wisconsin,05:29.5,20:28.5,77
78,Jenna Mulhern,JR-3,Furman,05:29.5,20:28.5,78
79,Anna Martin,SR-4,Utah Valley,05:29.5,20:28.5,79
80,Penelopea Gordon,SO-2,Michigan,05:29.6,20:28.8,80
81,Angelina Napoleon,FR-1,NC State,05:29.7,20:29.4,81
82,Sarah Tait,SR-4,West Virginia,05:29.9,20:30.0,82
83,Brooke Mullins,SR-4,Florida State,05:29.9,20:30.1,83
84,Roshni Singh,SR-4,Boston College,05:30.1,20:30.9,84
85,Ava Gordon,SO-2,Liberty,05:30.3,20:31.5,85
86,Allison Wilson,SR-4,Florida,05:30.3,20:31.5,86
87,Bella Jacobsen,SO-2,Wisconsin,05:30.4,20:31.8,87
88,Victoria Lagat,FR-1,Oklahoma State,05:30.6,20:32.7,88
89,Fiona Smith,SR-4,NC State,05:30.7,20:32.9,89
90,Jillian Candelino,SO-2,Tennessee,05:30.8,20:33.4,90
91,Colleen Stegmann,SO-2,Oklahoma State,05:30.8,20:33.6,91
92,Izzy Roemer,SO-2,Minnesota,05:30.9,20:33.9,92
93,Julie Sumsion,SR-4,Utah Valley,05:30.9,20:33.9,93
94,Kylie Simshauser,SR-4,Wyoming,05:31.0,20:34.1,94
95,Ava Mitchell,FR-1,Northern Arizona,05:31.0,20:34.3,
96,Anastaysia Davis,SR-4,BYU,05:31.1,20:34.4,
97,Abby Loveys,SR-4,Boston College,05:31.2,20:35.0,95
98,Penelope Salmon,JR-3,Harvard,05:31.6,20:36.4,96
99,Harley Kletz,SO-2,Lipscomb,05:31.7,20:36.8,97
100,Sophia McDonnell,SR-4,New Mexico,05:31.8,20:37.3,98
101,Caroline Lehman,SO-2,Notre Dame,05:31.9,20:37.4,99
102,Aoife Dunne,SR-4,Boston College,05:32.0,20:37.9,100
103,Rylie Lusk,SR-4,Syracuse,05:32.2,20:38.7,101
