PL,NAME,YEAR,TEAM,Avg. Mile,TIME,SCORE
133,Penelope Salmon,JR-3,Harvard,05:33.8,20:44.4,102
134,Colleen Stegmann,SO-2,Oklahoma State,05:33.9,20:45.1,103
135,Sophie O'Sullivan,SR-4,Washington,05:34.0,20:45.3,104
136,Barrett Justema,SO-2,Georgetown,05:34.0,20:45.4,105
137,Willow Collins,JR-3,Gonzaga,05:34.1,20:45.6,106
138,Lorena Rangel Batres,SR-4,LSU,05:34.1,20:45.6,
139,Eva Jess,SR-4,Texas,05:34.1,20:45.7,107
140,Brooke Mullins,SR-4,Florida State,05:34.1,20:45.9,108
141,Gretchen Farley,SO-2,Notre Dame,05:34.2,20:46.2,109
142,Annika Cutforth,SO-2,Wisconsin,05:34.3,20:46.4,110
143,Abby Loveys,SR-4,Boston College,05:34.3,20:46.6,111
144,Colbi Borland,SR-4,Lipscomb,05:34.3,20:46.6,112
145,Shea Ruhly,SR-4,Wisconsin,05:34.5,20:47.2,113
146,Bella Jacobsen,SO-2,Wisconsin,05:34.7,20:48.0,114
147,Morgan Jensen,SR-4,Utah,05:34.9,20:48.6,115
148,Nadia Phillips,SO-2,Minnesota,05:34.9,20:48.8,116
149,Izzy Roemer,SO-2,Minnesota,05:35.0,20:49.2,117
150,Sophia Toti,SR-4,Penn State,05:35.1,20:49.4,118
151,Gillian Bushee,SO-2,Virginia,05:35.1,20:49.6,119
152,Emily Paupore,SR-4,Central Michigan,05:35.2,20:49.7,
153,Claire Daniels,SO-2,Penn State,05:35.2,20:49.8,120
154,Selma Anderson,FR-1,Syracuse,05:35.2,20:49.9,121
155,Anna Petr,SR-4,Colorado St.,05:35.4,20:50.5,
156,Jillian Candelino,SO-2,Tennessee,05:35.6,20:51.3,122
157,Taylor Ewert,SR-4,Michigan State,05:35.7,20:51.6,123
158,Carolyn Shult,SR-4,Wisconsin,05:35.7,20:51.8,124
159,Mia Barnett,JR-3,Oregon,05:35.8,20:51.9,125
160,Bethany Michalak,FR-1,NC State,05:35.8,20:52.2,126
161,Josphine Mwaura,SO-2,Oklahoma State,05:35.9,20:52.4,127
162,Rebecca O'Keeffe,FR-1,Tennessee,05:35.9,20:52.6,128
163,Nora Gremban,FR-1,Wisconsin,05:36.0,20:52.7,129
164,Caroline Lyerly,SO-2,Tennessee,05:36.1,20:53.1,130
165,Mercy Kipchumba,FR-1,Stephen F. Austin,05:36.1,20:53.3,
166,Jessica Frydenlund,SO-2,Gonzaga,05:36.5,20:54.7,131
167,Camryn Menninger,SR-4,Virginia,05:36.6,20:55.1,132
168,Logan St. John-Kletter,FR-1,North Carolina,05:36.7,20:55.3,133
169,Penelopea Gordon,SO-2,Michigan,05:36.8,20:55.8,
170,Harley Kletz,SO-2,Lipscomb,05:36.9,20:56.1,134
171,Olivia Pielemeier,FR-1,Arkansas,05:37.2,20:57.2,135
172,Olivia Howell,SR-4,Texas,05:37.4,20:57.8,136
173,Aoife Dunne,SR-4,Boston College,05:37.4,20:58.1,137
