PL,NAME,YEAR,TEAM,Avg. Mile,TIME,SCORE
150,Frida Giersdorff,SO-2,North Dakota,05:58.5,22:16.9,148
151,Leah Klapatauskas,FR-1,Northern Iowa,05:59.0,22:18.6,149
152,Melanie Pankow,SR-4,South Dakota,05:59.1,22:18.8,150
153,Kate LeBlanc,JR-3,North Dakota State,05:59.3,22:19.8,151
154,Alicen Ashley,SO-2,Tulsa,05:59.8,22:21.5,152
155,Laya Erickson,FR-1,Kansas,05:59.9,22:21.9,153
156,Lena Singleton,SO-2,Missouri State,06:00.2,22:23.2,154
157,Bailey Wilk,SR-4,Northern Illinois,06:00.9,22:25.8,
158,Isabelle Hartnett,SO-2,Wichita State,06:01.0,22:26.2,155
159,Meredith Richter,FR-1,Omaha,06:01.2,22:26.7,156
160,Grace Erb,SO-2,Illinois State,06:01.6,22:28.4,157
161,Adrien Martens,JR-3,Missouri State,06:01.6,22:28.4,158
162,Clara Gillen,FR-1,Saint Louis,06:01.7,22:28.5,159
163,Elle Sondag,JR-3,North Dakota,06:01.7,22:28.8,160
164,Jade Ecoffey,FR-1,South Dakota,06:01.9,22:29.3,161
165,Jaelyn Miller,FR-1,North Dakota State,06:01.9,22:29.3,162
166,Indigo Sterud,SO-2,Illinois-Chicago,06:02.4,22:31.3,163
167,Anika Nettekoven,JR-3,Creighton,06:02.5,22:31.7,164
168,Maci Steuber,JR-3,South Dakota,06:02.6,22:32.0,165
169,Jacqueline Abanses,SR-4,Nebraska,06:02.8,22:32.7,166
170,Chiara Belfico,SR-4,Drake,06:02.9,22:33.2,167
171,Taylor Rorick,SO-2,Creighton,06:03.0,22:33.4,168
172,Katherine Soule,JR-3,Creighton,06:03.9,22:36.9,169
173,Isabella Orozco,SO-2,DePaul,06:04.1,22:37.7,170
174,Amanda Treptow,SO-2,Wichita State,06:04.2,22:38.0,171
175,Renee Ballard,FR-1,Saint Louis,06:04.5,22:39.2,172
176,Madeline Cabana,FR-1,Oral Roberts,06:05.0,22:41.0,173
177,Alexa Rios,JR-3,Kansas State,06:06.4,22:46.2,174
178,Hannah Meiser,SO-2,Southern Illinois,06:06.5,22:46.7,175
179,Lauren Eftink,FR-1,SE Missouri,06:06.7,22:47.4,176
180,Molly Caruso,FR-1,Omaha,06:07.5,22:50.2,177
181,Grace Spoonhour,SR-4,Missouri State,06:07.5,22:50.3,178
182,Aleah Tenpas,JR-3,Iowa,06:07.6,22:50.8,179
183,Lea Jerkovic,JR-3,Wichita State,06:08.0,22:52.2,180
184,Emma Dubie,SO-2,Illinois-Chicago,06:08.5,22:54.1,181
185,Rylea Borgic,SO-2,Eastern Illinois,06:08.7,22:54.8,182
186,Katie Roche,FR-1,Creighton,06:09.0,22:56.0,183
187,Madalyn Gray,SR-4,SE Missouri,06:09.1,22:56.1,184
188,Brianna Nieset,SR-4,Southern Illinois,06:09.2,22:56.7,185
189,Alexis Leone,FR-1,Creighton,06:09.2,22:56.7,186
190,Rachel Hughes,FR-1,North Dakota,06:09.3,22:56.8,187
